studno,description,action,datefiled,dateresolved
2013-58717,sed tristique in tempus sit amet sem fusce consequat nulla,volutpat,1992-12-03,1991-10-20
1998-45241,ut rhoncus aliquet pulvinar sed,luctus,1996-02-22,1997-02-06
2018-84965,eget congue eget semper rutrum nulla,accumsan,1993-07-17,1996-04-27
2011-45111,semper porta volutpat quam pede lobortis ligula,pretium,1997-02-08,1997-04-12
1991-87148,lacus morbi quis tortor id nulla ultrices aliquet,ante,1996-10-11,1990-02-04
2009-35020,enim lorem ipsum dolor sit amet,interdum,1994-03-15,1997-02-22
1994-45486,proin at turpis a pede posuere nonummy integer,justo,1995-11-13,1994-02-19
2013-29375,volutpat in congue etiam justo etiam,libero,1990-11-23,1998-06-19
1992-87895,malesuada in imperdiet et commodo vulputate justo in blandit ultrices,luctus,1998-05-18,1990-07-17
1993-14293,libero nam dui proin leo,vel,1990-10-06,1998-05-24
2010-69241,enim leo rhoncus sed vestibulum,nisl,1998-08-13,1998-11-28
2000-76022,dictumst etiam faucibus cursus urna ut tellus nulla,turpis,1992-06-09,2000-10-07
2010-11621,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,in,1995-02-17,1993-01-11
2019-50597,dapibus at diam nam tristique tortor,orci,2000-11-12,1994-09-09
2019-25843,tortor duis mattis egestas metus,convallis,2000-06-12,2000-07-09
2014-13353,odio donec vitae nisi nam,neque,1991-10-24,1992-01-29
2019-25750,vivamus vel nulla eget eros elementum pellentesque quisque,condimentum,1996-01-31,1995-07-08
1993-71012,fusce consequat nulla nisl nunc nisl,dapibus,1990-04-02,1996-06-01
2003-21765,congue vivamus metus arcu adipiscing,vulputate,1995-05-05,1990-01-11
1994-73745,vitae mattis nibh ligula nec sem duis,vel,2000-11-30,1991-06-28
2001-09380,risus semper porta volutpat quam,vestibulum,2000-07-23,1992-11-04
2014-06490,sit amet cursus id turpis integer aliquet,bibendum,2000-02-14,1993-08-22
2003-04585,mus vivamus vestibulum sagittis sapien,cubilia,1990-12-20,1991-06-06
1995-62389,morbi non quam nec dui luctus rutrum,commodo,1999-08-10,1993-07-16
2008-00486,blandit nam nulla integer pede justo lacinia eget tincidunt,quis,1993-08-07,1999-08-26
1990-98643,nibh in hac habitasse platea dictumst aliquam,felis,1992-02-28,1994-01-20
1994-30412,blandit lacinia erat vestibulum sed magna at,amet,1994-12-23,1998-03-16
2010-09182,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,ut,1992-12-02,1996-07-10
2015-62461,nulla eget eros elementum pellentesque quisque porta,lectus,1990-08-15,1992-03-31
2019-89833,ipsum praesent blandit lacinia erat vestibulum sed magna,curae,1996-08-21,1993-10-26
2018-57030,cras pellentesque volutpat dui maecenas tristique est et,amet,1990-10-07,1992-08-20
2007-22732,nec sem duis aliquam convallis nunc proin at turpis,augue,1991-05-27,1999-09-26
2014-10223,in purus eu magna vulputate luctus cum sociis natoque,pellentesque,2000-03-13,1997-10-01
2007-20959,risus auctor sed tristique in tempus sit amet sem,maecenas,1996-10-04,2000-09-08
2019-32194,tincidunt lacus at velit vivamus,orci,2000-10-15,1994-07-03
2016-46772,nisi venenatis tristique fusce congue diam,in,1995-05-17,1999-03-28
1990-56092,integer non velit donec diam,rhoncus,1999-03-11,1997-11-28
2016-82329,imperdiet et commodo vulputate justo in blandit,dictumst,1995-03-16,1997-03-05
2011-56764,nulla nunc purus phasellus in felis donec,nunc,1996-06-06,1995-01-09
1998-56042,porttitor lorem id ligula suspendisse ornare consequat lectus,cubilia,1997-02-13,1997-06-17
2016-78259,leo odio condimentum id luctus nec molestie sed,at,1996-05-05,1998-05-01
2013-31366,erat curabitur gravida nisi at,tincidunt,1992-01-12,1998-08-27
2012-51380,ut massa quis augue luctus tincidunt nulla mollis molestie,nulla,1991-04-15,1995-11-26
2016-62456,lacus morbi sem mauris laoreet ut rhoncus,orci,1996-10-10,2000-10-08
2015-85992,quis augue luctus tincidunt nulla mollis molestie,tempus,1999-06-16,1992-05-08
1996-75882,nibh in quis justo maecenas rhoncus,congue,1996-01-30,1996-01-23
2004-50894,integer non velit donec diam neque vestibulum eget vulputate ut,volutpat,1992-08-11,1991-09-02
2018-56464,tellus semper interdum mauris ullamcorper,neque,1992-05-30,1999-10-13
1990-26566,tincidunt nulla mollis molestie lorem quisque ut,morbi,1999-05-19,1990-10-20
2012-84221,dapibus duis at velit eu,ipsum,1991-11-05,1998-04-17
1990-39504,nisi vulputate nonummy maecenas tincidunt lacus at velit,pellentesque,1990-11-18,2000-11-14
2018-72998,turpis a pede posuere nonummy integer non velit donec diam,metus,1993-01-13,1992-03-15
2015-37547,lacus purus aliquet at feugiat non pretium quis,vel,1992-04-12,1990-06-18
2019-18844,mi integer ac neque duis bibendum morbi,quam,1996-03-29,2000-07-02
2011-15519,pulvinar sed nisl nunc rhoncus,luctus,1990-08-14,1992-08-16
1996-67020,ultrices enim lorem ipsum dolor,nullam,1993-02-16,2000-12-06
1994-55104,quisque arcu libero rutrum ac,iaculis,1990-10-06,1995-03-30
2011-60122,erat vestibulum sed magna at nunc,maecenas,2000-11-08,1996-10-15
2011-96107,morbi vestibulum velit id pretium iaculis diam erat,erat,1995-11-05,2000-07-31
2014-39276,sociis natoque penatibus et magnis,sem,1996-07-16,1991-03-27
1994-52047,leo rhoncus sed vestibulum sit amet cursus id turpis integer,pede,1995-08-26,1993-06-25
1995-18480,habitasse platea dictumst aliquam augue quam,nascetur,1992-01-05,1997-09-04
2011-14215,sit amet consectetuer adipiscing elit,orci,1991-12-14,1990-12-01
2013-67643,consequat ut nulla sed accumsan felis ut at dolor quis,consectetuer,1992-06-18,1998-11-15
2014-22662,ullamcorper augue a suscipit nulla elit ac nulla sed vel,justo,1997-07-19,2000-02-21
1992-24928,at velit vivamus vel nulla eget,lacus,1990-02-19,1998-03-03
2000-90813,velit donec diam neque vestibulum,sapien,1999-06-26,1999-09-28
1999-37234,nam nulla integer pede justo lacinia eget tincidunt,magna,1993-09-03,1995-12-30
2007-36176,maecenas ut massa quis augue luctus tincidunt nulla,molestie,1993-06-25,1998-12-19
1993-57468,luctus tincidunt nulla mollis molestie lorem quisque,tempus,1990-12-02,1993-09-13
2011-46104,scelerisque mauris sit amet eros suspendisse accumsan,venenatis,1998-02-13,1991-09-03
2017-82988,id justo sit amet sapien dignissim vestibulum vestibulum,nascetur,1998-08-08,1999-08-13
2011-53943,sociis natoque penatibus et magnis dis parturient,purus,1995-09-12,1993-08-20
2010-18429,venenatis turpis enim blandit mi,bibendum,1992-04-30,1999-10-04
2017-72827,est quam pharetra magna ac consequat,nibh,1996-08-09,1992-01-15
2018-16698,fusce posuere felis sed lacus morbi sem mauris,accumsan,1998-07-05,1993-11-27
2019-36053,urna ut tellus nulla ut erat,est,1993-10-22,1993-12-26
1993-70918,lorem quisque ut erat curabitur gravida,turpis,1998-11-25,1997-03-13
1993-53915,feugiat non pretium quis lectus suspendisse potenti in eleifend quam,mauris,1995-11-12,1995-09-04
2006-87922,a pede posuere nonummy integer non velit,sed,1999-06-15,1990-09-05
2002-77767,nam nulla integer pede justo lacinia eget tincidunt eget,accumsan,1999-05-06,1996-12-30
1994-67547,ac lobortis vel dapibus at diam nam tristique tortor eu,sem,1998-09-10,1997-06-10
1993-24857,odio odio elementum eu interdum eu,vel,1992-09-01,1997-04-02
1991-05985,ut suscipit a feugiat et eros vestibulum ac est lacinia,in,1991-04-30,1998-05-09
1995-70627,nunc commodo placerat praesent blandit,non,2000-08-26,1993-02-15
2014-85972,eget elit sodales scelerisque mauris sit,lobortis,1999-01-27,2000-04-19
2018-50696,massa tempor convallis nulla neque,dapibus,1999-02-06,1990-04-03
2008-09581,pellentesque ultrices mattis odio donec vitae,etiam,1999-07-18,2000-07-30
2017-94368,quisque porta volutpat erat quisque erat,tortor,1993-10-10,1998-07-06
1997-40231,pede justo lacinia eget tincidunt eget tempus vel pede morbi,risus,1990-11-11,1998-03-23
2011-24565,urna pretium nisl ut volutpat sapien arcu sed augue aliquam,enim,1991-10-25,1992-07-24
2013-28882,cras pellentesque volutpat dui maecenas tristique est et,amet,1998-11-18,1992-07-13
2010-06459,risus semper porta volutpat quam pede lobortis ligula sit amet,quam,1995-03-22,1990-07-01
2007-68099,nibh in hac habitasse platea dictumst aliquam augue,libero,1998-10-07,1999-03-22
1996-60367,accumsan tortor quis turpis sed ante vivamus tortor duis mattis,sapien,1996-12-16,1991-01-26
2011-99781,neque vestibulum eget vulputate ut ultrices vel,justo,2000-05-18,2000-07-12
2010-36285,sit amet nunc viverra dapibus nulla,cras,1997-03-26,1995-09-13
2016-55081,vitae nisi nam ultrices libero,tempus,1999-12-09,1999-12-09
2012-70821,lobortis est phasellus sit amet,est,1992-08-08,1994-02-28
1992-96174,lectus suspendisse potenti in eleifend quam a odio in hac,turpis,1997-10-13,1994-02-26
2019-25205,venenatis lacinia aenean sit amet justo morbi,donec,1994-04-29,1996-05-09
1993-54763,velit vivamus vel nulla eget eros elementum pellentesque quisque porta,potenti,1997-07-12,1992-12-29
1991-89050,at velit eu est congue elementum in hac habitasse platea,ligula,1990-07-28,2000-05-29
2012-42958,cursus id turpis integer aliquet massa id lobortis convallis tortor,curae,1999-07-29,1997-01-09
2017-21577,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,vitae,1993-01-30,1995-04-08
2006-21550,curae mauris viverra diam vitae quam suspendisse potenti nullam,luctus,1992-02-06,1994-12-16
2001-90984,odio cras mi pede malesuada in imperdiet et commodo,suspendisse,1999-07-28,1994-04-18
2007-84999,cum sociis natoque penatibus et magnis dis,lectus,1994-02-15,1991-05-15
2014-10978,lorem id ligula suspendisse ornare consequat lectus in,ut,1995-11-04,1990-12-24
2011-00142,praesent lectus vestibulum quam sapien varius ut blandit,nulla,1993-06-14,1996-06-04
2004-85334,quis orci nullam molestie nibh in,lorem,1999-12-17,1990-04-14
2007-91759,volutpat sapien arcu sed augue aliquam erat volutpat in,nulla,1998-10-11,1996-05-21
2006-82109,fermentum justo nec condimentum neque sapien,mauris,1994-10-06,1999-10-27
2004-20437,non sodales sed tincidunt eu felis fusce,aenean,1998-12-02,1999-03-21
1992-39802,lorem vitae mattis nibh ligula nec sem duis aliquam convallis,venenatis,1998-02-07,1992-11-22
1995-42608,ipsum primis in faucibus orci luctus et ultrices,in,1991-10-19,2000-09-12
2013-80531,lacus morbi sem mauris laoreet ut,eleifend,1992-05-30,1995-04-15
1993-28075,ante ipsum primis in faucibus orci luctus et ultrices,sapien,1997-03-30,2000-05-04
2003-93927,sed augue aliquam erat volutpat,amet,1991-03-21,1991-12-03
2004-91632,at turpis a pede posuere nonummy integer non,nulla,1992-08-12,1991-05-06
2000-29478,eu magna vulputate luctus cum sociis natoque penatibus et magnis,lobortis,1994-03-26,1995-11-22
2010-20874,magna ac consequat metus sapien,sed,1991-06-30,1996-06-08
2011-02307,rhoncus mauris enim leo rhoncus,orci,1996-03-20,1994-04-18
1990-44314,suspendisse potenti cras in purus eu magna vulputate luctus cum,consequat,1994-07-29,1996-06-04
2013-12994,purus aliquet at feugiat non,morbi,1998-09-27,1997-09-03
2009-69511,nulla suscipit ligula in lacus curabitur at ipsum ac,vestibulum,1992-11-19,1996-08-13
2017-76439,enim sit amet nunc viverra,convallis,1995-05-18,1998-06-29
2001-40086,vulputate luctus cum sociis natoque penatibus et magnis,aliquet,1994-11-12,1993-01-16
2007-31576,ultrices posuere cubilia curae nulla,tortor,1998-04-03,1997-11-30
2017-62636,morbi sem mauris laoreet ut,vivamus,1996-12-31,1993-02-24
2014-05941,justo aliquam quis turpis eget,rutrum,1993-11-09,1995-07-11
1997-32661,ante vel ipsum praesent blandit lacinia erat vestibulum sed,et,1999-06-19,1990-05-25
2012-21769,nulla pede ullamcorper augue a suscipit nulla elit ac,in,2000-05-21,2000-03-29
2014-89227,vestibulum ante ipsum primis in,maecenas,1994-07-05,1991-11-04
1997-03917,enim leo rhoncus sed vestibulum sit amet cursus,venenatis,1998-04-11,1992-12-08
1997-85032,vel nulla eget eros elementum pellentesque quisque porta,elit,1997-11-12,1999-03-12
2007-38844,mauris enim leo rhoncus sed vestibulum sit amet cursus id,platea,1998-05-26,1998-08-27
1991-30716,nisl nunc nisl duis bibendum,mi,1998-04-05,1993-04-04
2012-77663,mi integer ac neque duis bibendum morbi,vestibulum,1995-11-28,1999-07-25
2015-93589,eleifend donec ut dolor morbi vel,felis,1999-04-06,1990-07-23
1993-18478,nam ultrices libero non mattis pulvinar,ut,1992-12-30,1992-01-17
1999-17414,volutpat quam pede lobortis ligula sit amet eleifend pede libero,massa,1992-06-16,2000-08-04
2013-35258,in libero ut massa volutpat convallis,vestibulum,1992-07-26,2000-05-08
1996-98407,tempus semper est quam pharetra magna ac consequat metus,tellus,1990-09-07,1995-06-10
2013-09484,nulla eget eros elementum pellentesque quisque,justo,1992-01-12,1993-09-20
1998-57757,nibh quisque id justo sit,primis,1996-02-13,1999-09-22
2018-06889,ac consequat metus sapien ut,luctus,1996-05-25,1990-01-22
1992-70856,est et tempus semper est quam pharetra,ridiculus,1991-12-26,1999-05-07
2009-43673,aliquet pulvinar sed nisl nunc rhoncus dui vel sem,nibh,1998-09-06,1992-02-10
2019-91352,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,erat,1996-08-07,1991-09-30
2018-41757,tincidunt ante vel ipsum praesent,blandit,1995-10-22,1993-12-22
2015-77545,curabitur at ipsum ac tellus,in,1996-07-15,1991-07-16
2009-65968,aliquet massa id lobortis convallis tortor risus dapibus augue vel,magnis,2000-10-13,1996-06-24
2014-18154,arcu sed augue aliquam erat,sapien,1995-09-03,1994-01-03
2016-02681,odio condimentum id luctus nec molestie,purus,1999-10-09,1996-02-20
2014-64064,sapien a libero nam dui proin leo odio porttitor,condimentum,1994-08-31,1995-09-03
1994-11738,nullam orci pede venenatis non sodales sed tincidunt eu,sed,1995-04-28,1991-05-03
2001-54672,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,velit,1997-08-03,1993-02-28
2002-73212,mauris enim leo rhoncus sed,maecenas,1990-01-25,1997-04-06
2014-28661,lacinia eget tincidunt eget tempus vel pede morbi porttitor,morbi,2000-07-30,1991-09-15
1990-13197,magna at nunc commodo placerat praesent,in,1992-09-06,1996-03-29
2018-09009,duis consequat dui nec nisi volutpat,ut,1999-11-20,1997-01-21
2013-62937,amet cursus id turpis integer aliquet,in,1997-05-23,1997-12-10
2003-21545,sociis natoque penatibus et magnis,tempus,1991-10-08,1994-01-02
1994-89081,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,interdum,1996-02-20,2000-08-22
2014-38540,suspendisse ornare consequat lectus in est risus auctor,tempus,1996-11-07,1991-01-21
2005-12342,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,et,1992-08-11,1995-06-28
2009-64488,lectus pellentesque eget nunc donec quis,ut,1991-08-21,1993-06-05
1991-80511,magna vulputate luctus cum sociis natoque penatibus et magnis dis,nisl,1996-12-20,1995-06-26
1994-02203,id turpis integer aliquet massa id lobortis convallis tortor,cubilia,1997-01-21,1991-01-29
1999-75420,diam vitae quam suspendisse potenti nullam porttitor lacus at,integer,1999-04-13,1998-10-15
2017-74374,turpis a pede posuere nonummy,amet,1994-08-28,1991-06-06
2015-63518,ut tellus nulla ut erat id,curabitur,1999-07-17,1995-02-15
2002-54428,pede ullamcorper augue a suscipit nulla elit ac,ipsum,1990-12-09,2000-01-20
2018-16679,luctus et ultrices posuere cubilia curae mauris viverra diam vitae,quam,2000-05-16,1994-01-16
2016-26305,felis sed lacus morbi sem mauris laoreet,justo,1991-12-11,1994-01-09
2017-25800,elit proin risus praesent lectus vestibulum quam sapien varius ut,primis,1999-08-23,1995-01-23
2008-37362,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,eros,1992-08-26,1998-11-24
1990-08956,ut nulla sed accumsan felis ut at dolor quis,lacus,1991-02-16,1995-12-26
2011-59820,purus sit amet nulla quisque arcu libero rutrum ac lobortis,erat,1993-02-22,1996-08-11
2015-31458,imperdiet nullam orci pede venenatis non,cras,2000-07-22,1994-04-26
2004-17037,duis ac nibh fusce lacus,morbi,1998-07-11,1999-03-23
2014-06303,ut erat id mauris vulputate elementum nullam varius nulla,turpis,1997-05-01,1996-08-15
2016-58165,vel dapibus at diam nam tristique tortor eu,vivamus,1992-07-23,2000-10-06
1992-00632,sapien iaculis congue vivamus metus arcu adipiscing molestie,donec,1997-07-06,1994-09-05
2013-13927,ipsum aliquam non mauris morbi non lectus,accumsan,1999-01-24,1996-05-01
2017-22395,nec dui luctus rutrum nulla tellus in sagittis dui,morbi,1997-04-07,1992-11-12
2014-34812,feugiat non pretium quis lectus suspendisse potenti in eleifend,iaculis,1998-06-22,1994-07-01
2010-04642,felis fusce posuere felis sed lacus morbi sem mauris laoreet,consequat,1998-06-06,1998-07-13
2018-53046,malesuada in imperdiet et commodo,dictumst,1991-10-17,1999-03-23
2015-05455,augue vestibulum rutrum rutrum neque aenean auctor gravida sem,tellus,1998-06-11,1992-02-23
2005-68875,morbi non quam nec dui luctus rutrum nulla tellus,aliquet,1990-09-14,2000-09-15
2017-42077,lorem ipsum dolor sit amet consectetuer adipiscing elit,felis,1996-02-24,1994-04-24
2019-58770,bibendum imperdiet nullam orci pede venenatis,lacinia,1994-06-08,1998-02-17
1999-56552,in tempus sit amet sem,leo,1998-05-14,1998-03-10
2012-84940,gravida nisi at nibh in hac,quis,1995-07-01,1995-08-16
1996-52175,et tempus semper est quam pharetra magna,amet,1993-07-15,1996-11-30
2013-02597,posuere cubilia curae donec pharetra magna,vulputate,1994-06-29,1996-10-03
1992-20219,enim leo rhoncus sed vestibulum sit amet cursus,id,1999-04-01,1997-10-26
1992-07697,ante ipsum primis in faucibus orci luctus et ultrices,nibh,1996-08-09,1993-12-25
2003-31426,id nisl venenatis lacinia aenean sit amet justo morbi,mus,1994-01-20,1999-04-17
2015-01014,arcu sed augue aliquam erat,non,1990-06-01,1991-01-03
2018-14557,proin risus praesent lectus vestibulum quam sapien varius,vehicula,1996-04-12,1996-09-01
2010-29554,nam nulla integer pede justo lacinia eget,ut,1998-08-11,1997-09-14
2016-00275,eget rutrum at lorem integer tincidunt ante vel,nulla,1997-12-12,1992-02-28
2019-87666,blandit lacinia erat vestibulum sed magna,montes,1999-08-23,2000-03-07
2011-47829,ut dolor morbi vel lectus in quam fringilla,integer,1996-04-13,1996-03-01
2009-94861,odio odio elementum eu interdum eu tincidunt in leo maecenas,tortor,1992-01-14,1990-12-21
